target_split,image_id,base_id,source_split,source_image,target_image,target_label,object_count
test,20170314-SPI-AOI-1,20170314-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170314-SPI-AOI-1.jpeg,data\yolo\images\test\20170314-SPI-AOI-1.jpeg,data\yolo\labels\test\20170314-SPI-AOI-1.txt,1
test,20170316-SPI-AOI-19,20170316-SPI-AOI-19,test_data,data\raw\test_data\JPEGImages\20170316-SPI-AOI-19.jpeg,data\yolo\images\test\20170316-SPI-AOI-19.jpeg,data\yolo\labels\test\20170316-SPI-AOI-19.txt,8
test,20170321-SPI-AOI-3,20170321-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170321-SPI-AOI-3.jpeg,data\yolo\images\test\20170321-SPI-AOI-3.jpeg,data\yolo\labels\test\20170321-SPI-AOI-3.txt,5
test,20170324-SPI-AOI-4,20170324-SPI-AOI-4,test_data,data\raw\test_data\JPEGImages\20170324-SPI-AOI-4.jpeg,data\yolo\images\test\20170324-SPI-AOI-4.jpeg,data\yolo\labels\test\20170324-SPI-AOI-4.txt,1
test,20170330-SPI-AOI-10,20170330-SPI-AOI-10,test_data,data\raw\test_data\JPEGImages\20170330-SPI-AOI-10.jpeg,data\yolo\images\test\20170330-SPI-AOI-10.jpeg,data\yolo\labels\test\20170330-SPI-AOI-10.txt,1
test,20170406-SPI-AOI-4,20170406-SPI-AOI-4,test_data,data\raw\test_data\JPEGImages\20170406-SPI-AOI-4.jpeg,data\yolo\images\test\20170406-SPI-AOI-4.jpeg,data\yolo\labels\test\20170406-SPI-AOI-4.txt,2
test,20170407-SPI-AOI-3,20170407-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170407-SPI-AOI-3.jpeg,data\yolo\images\test\20170407-SPI-AOI-3.jpeg,data\yolo\labels\test\20170407-SPI-AOI-3.txt,2
test,20170408-SPI-AOI-3,20170408-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170408-SPI-AOI-3.jpeg,data\yolo\images\test\20170408-SPI-AOI-3.jpeg,data\yolo\labels\test\20170408-SPI-AOI-3.txt,1
test,20170421-SPI-AOI-2,20170421-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20170421-SPI-AOI-2.jpeg,data\yolo\images\test\20170421-SPI-AOI-2.jpeg,data\yolo\labels\test\20170421-SPI-AOI-2.txt,3
test,20170515-SPI-AOI-3,20170515-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170515-SPI-AOI-3.jpeg,data\yolo\images\test\20170515-SPI-AOI-3.jpeg,data\yolo\labels\test\20170515-SPI-AOI-3.txt,2
test,20170601-SPI-AOI-2,20170601-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20170601-SPI-AOI-2.jpeg,data\yolo\images\test\20170601-SPI-AOI-2.jpeg,data\yolo\labels\test\20170601-SPI-AOI-2.txt,5
test,20170610-SPI-AOI-1,20170610-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170610-SPI-AOI-1.jpeg,data\yolo\images\test\20170610-SPI-AOI-1.jpeg,data\yolo\labels\test\20170610-SPI-AOI-1.txt,23
test,20170615-SPI-AOI-3,20170615-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170615-SPI-AOI-3.jpeg,data\yolo\images\test\20170615-SPI-AOI-3.jpeg,data\yolo\labels\test\20170615-SPI-AOI-3.txt,2
test,20170617-SPI-AOI-2,20170617-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20170617-SPI-AOI-2.jpeg,data\yolo\images\test\20170617-SPI-AOI-2.jpeg,data\yolo\labels\test\20170617-SPI-AOI-2.txt,3
test,20170619-SPI-AOI-4,20170619-SPI-AOI-4,test_data,data\raw\test_data\JPEGImages\20170619-SPI-AOI-4.jpeg,data\yolo\images\test\20170619-SPI-AOI-4.jpeg,data\yolo\labels\test\20170619-SPI-AOI-4.txt,3
test,20170620-SPI-AOI-1,20170620-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170620-SPI-AOI-1.jpeg,data\yolo\images\test\20170620-SPI-AOI-1.jpeg,data\yolo\labels\test\20170620-SPI-AOI-1.txt,1
test,20170705-SPI-AOI-1,20170705-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170705-SPI-AOI-1.jpeg,data\yolo\images\test\20170705-SPI-AOI-1.jpeg,data\yolo\labels\test\20170705-SPI-AOI-1.txt,7
test,20170705-SPI-AOI-2,20170705-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20170705-SPI-AOI-2.jpeg,data\yolo\images\test\20170705-SPI-AOI-2.jpeg,data\yolo\labels\test\20170705-SPI-AOI-2.txt,2
test,20170705-SPI-AOI-3,20170705-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170705-SPI-AOI-3.jpeg,data\yolo\images\test\20170705-SPI-AOI-3.jpeg,data\yolo\labels\test\20170705-SPI-AOI-3.txt,10
test,20170731-SPI-AOI-5,20170731-SPI-AOI-5,test_data,data\raw\test_data\JPEGImages\20170731-SPI-AOI-5.jpeg,data\yolo\images\test\20170731-SPI-AOI-5.jpeg,data\yolo\labels\test\20170731-SPI-AOI-5.txt,2
test,20170814-SPI-AOI-1,20170814-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170814-SPI-AOI-1.jpeg,data\yolo\images\test\20170814-SPI-AOI-1.jpeg,data\yolo\labels\test\20170814-SPI-AOI-1.txt,12
test,20170815-SPI-AOI-1,20170815-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170815-SPI-AOI-1.jpeg,data\yolo\images\test\20170815-SPI-AOI-1.jpeg,data\yolo\labels\test\20170815-SPI-AOI-1.txt,13
test,20170815-SPI-AOI-2,20170815-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20170815-SPI-AOI-2.jpeg,data\yolo\images\test\20170815-SPI-AOI-2.jpeg,data\yolo\labels\test\20170815-SPI-AOI-2.txt,8
test,20170829-SPI-AOI-3,20170829-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20170829-SPI-AOI-3.jpeg,data\yolo\images\test\20170829-SPI-AOI-3.jpeg,data\yolo\labels\test\20170829-SPI-AOI-3.txt,14
test,20170830-SPI-AOI-1,20170830-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170830-SPI-AOI-1.jpeg,data\yolo\images\test\20170830-SPI-AOI-1.jpeg,data\yolo\labels\test\20170830-SPI-AOI-1.txt,20
test,20170901-SPI-AOI-1,20170901-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20170901-SPI-AOI-1.jpeg,data\yolo\images\test\20170901-SPI-AOI-1.jpeg,data\yolo\labels\test\20170901-SPI-AOI-1.txt,28
test,20170912-SPI-AOI-4,20170912-SPI-AOI-4,test_data,data\raw\test_data\JPEGImages\20170912-SPI-AOI-4.jpeg,data\yolo\images\test\20170912-SPI-AOI-4.jpeg,data\yolo\labels\test\20170912-SPI-AOI-4.txt,4
test,20171017-SPI-AOI-1,20171017-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20171017-SPI-AOI-1.jpeg,data\yolo\images\test\20171017-SPI-AOI-1.jpeg,data\yolo\labels\test\20171017-SPI-AOI-1.txt,4
test,20171109-SPI-AOI-10,20171109-SPI-AOI-10,test_data,data\raw\test_data\JPEGImages\20171109-SPI-AOI-10.jpeg,data\yolo\images\test\20171109-SPI-AOI-10.jpeg,data\yolo\labels\test\20171109-SPI-AOI-10.txt,5
test,20171109-SPI-AOI-9,20171109-SPI-AOI-9,test_data,data\raw\test_data\JPEGImages\20171109-SPI-AOI-9.jpeg,data\yolo\images\test\20171109-SPI-AOI-9.jpeg,data\yolo\labels\test\20171109-SPI-AOI-9.txt,3
test,20171110-SPI-AOI-1,20171110-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20171110-SPI-AOI-1.jpeg,data\yolo\images\test\20171110-SPI-AOI-1.jpeg,data\yolo\labels\test\20171110-SPI-AOI-1.txt,2
test,20171110-SPI-AOI-2,20171110-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20171110-SPI-AOI-2.jpeg,data\yolo\images\test\20171110-SPI-AOI-2.jpeg,data\yolo\labels\test\20171110-SPI-AOI-2.txt,2
test,20171110-SPI-AOI-3,20171110-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20171110-SPI-AOI-3.jpeg,data\yolo\images\test\20171110-SPI-AOI-3.jpeg,data\yolo\labels\test\20171110-SPI-AOI-3.txt,6
test,20171110-SPI-AOI-6,20171110-SPI-AOI-6,test_data,data\raw\test_data\JPEGImages\20171110-SPI-AOI-6.jpeg,data\yolo\images\test\20171110-SPI-AOI-6.jpeg,data\yolo\labels\test\20171110-SPI-AOI-6.txt,1
test,20171110-SPI-AOI-8,20171110-SPI-AOI-8,test_data,data\raw\test_data\JPEGImages\20171110-SPI-AOI-8.jpeg,data\yolo\images\test\20171110-SPI-AOI-8.jpeg,data\yolo\labels\test\20171110-SPI-AOI-8.txt,2
test,20171110-SPI-AOI-9,20171110-SPI-AOI-9,test_data,data\raw\test_data\JPEGImages\20171110-SPI-AOI-9.jpeg,data\yolo\images\test\20171110-SPI-AOI-9.jpeg,data\yolo\labels\test\20171110-SPI-AOI-9.txt,2
test,20171206-SPI-AOI-6,20171206-SPI-AOI-6,test_data,data\raw\test_data\JPEGImages\20171206-SPI-AOI-6.jpeg,data\yolo\images\test\20171206-SPI-AOI-6.jpeg,data\yolo\labels\test\20171206-SPI-AOI-6.txt,9
test,20171206-SPI-AOI-7,20171206-SPI-AOI-7,test_data,data\raw\test_data\JPEGImages\20171206-SPI-AOI-7.jpeg,data\yolo\images\test\20171206-SPI-AOI-7.jpeg,data\yolo\labels\test\20171206-SPI-AOI-7.txt,5
test,20171207-SPI-AOI-3,20171207-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20171207-SPI-AOI-3.jpeg,data\yolo\images\test\20171207-SPI-AOI-3.jpeg,data\yolo\labels\test\20171207-SPI-AOI-3.txt,4
test,20171207-SPI-AOI-4,20171207-SPI-AOI-4,test_data,data\raw\test_data\JPEGImages\20171207-SPI-AOI-4.jpeg,data\yolo\images\test\20171207-SPI-AOI-4.jpeg,data\yolo\labels\test\20171207-SPI-AOI-4.txt,13
test,20171227-SPI-AOI-3,20171227-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20171227-SPI-AOI-3.jpeg,data\yolo\images\test\20171227-SPI-AOI-3.jpeg,data\yolo\labels\test\20171227-SPI-AOI-3.txt,1
test,20180102-SPI-AOI-1,20180102-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180102-SPI-AOI-1.jpeg,data\yolo\images\test\20180102-SPI-AOI-1.jpeg,data\yolo\labels\test\20180102-SPI-AOI-1.txt,2
test,20180108-SPI-AOI-12,20180108-SPI-AOI-12,test_data,data\raw\test_data\JPEGImages\20180108-SPI-AOI-12.jpeg,data\yolo\images\test\20180108-SPI-AOI-12.jpeg,data\yolo\labels\test\20180108-SPI-AOI-12.txt,3
test,20180124-SPI-AOI-2,20180124-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20180124-SPI-AOI-2.jpeg,data\yolo\images\test\20180124-SPI-AOI-2.jpeg,data\yolo\labels\test\20180124-SPI-AOI-2.txt,1
test,20180206-SPI-AOI-3,20180206-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20180206-SPI-AOI-3.jpeg,data\yolo\images\test\20180206-SPI-AOI-3.jpeg,data\yolo\labels\test\20180206-SPI-AOI-3.txt,1
test,20180309-SPI-AOI-15,20180309-SPI-AOI-15,test_data,data\raw\test_data\JPEGImages\20180309-SPI-AOI-15.jpeg,data\yolo\images\test\20180309-SPI-AOI-15.jpeg,data\yolo\labels\test\20180309-SPI-AOI-15.txt,10
test,20180309-SPI-AOI-17,20180309-SPI-AOI-17,test_data,data\raw\test_data\JPEGImages\20180309-SPI-AOI-17.jpeg,data\yolo\images\test\20180309-SPI-AOI-17.jpeg,data\yolo\labels\test\20180309-SPI-AOI-17.txt,6
test,20180315-SPI-AOI-1,20180315-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180315-SPI-AOI-1.jpeg,data\yolo\images\test\20180315-SPI-AOI-1.jpeg,data\yolo\labels\test\20180315-SPI-AOI-1.txt,1
test,20180319-SPI-AOI-4,20180319-SPI-AOI-4,test_data,data\raw\test_data\JPEGImages\20180319-SPI-AOI-4.jpeg,data\yolo\images\test\20180319-SPI-AOI-4.jpeg,data\yolo\labels\test\20180319-SPI-AOI-4.txt,5
test,20180322-SPI-AOI-8,20180322-SPI-AOI-8,test_data,data\raw\test_data\JPEGImages\20180322-SPI-AOI-8.jpeg,data\yolo\images\test\20180322-SPI-AOI-8.jpeg,data\yolo\labels\test\20180322-SPI-AOI-8.txt,5
test,20180403-SPI-AOI-1,20180403-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180403-SPI-AOI-1.jpeg,data\yolo\images\test\20180403-SPI-AOI-1.jpeg,data\yolo\labels\test\20180403-SPI-AOI-1.txt,7
test,20180403-SPI-AOI-2,20180403-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20180403-SPI-AOI-2.jpeg,data\yolo\images\test\20180403-SPI-AOI-2.jpeg,data\yolo\labels\test\20180403-SPI-AOI-2.txt,1
test,20180403-SPI-AOI-3,20180403-SPI-AOI-3,test_data,data\raw\test_data\JPEGImages\20180403-SPI-AOI-3.jpeg,data\yolo\images\test\20180403-SPI-AOI-3.jpeg,data\yolo\labels\test\20180403-SPI-AOI-3.txt,4
test,20180427-SPI-AOI-1,20180427-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180427-SPI-AOI-1.jpeg,data\yolo\images\test\20180427-SPI-AOI-1.jpeg,data\yolo\labels\test\20180427-SPI-AOI-1.txt,6
test,20180503-SPI-AOI-10,20180503-SPI-AOI-10,test_data,data\raw\test_data\JPEGImages\20180503-SPI-AOI-10.jpeg,data\yolo\images\test\20180503-SPI-AOI-10.jpeg,data\yolo\labels\test\20180503-SPI-AOI-10.txt,20
test,20180514-SPI-AOI-1,20180514-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180514-SPI-AOI-1.jpeg,data\yolo\images\test\20180514-SPI-AOI-1.jpeg,data\yolo\labels\test\20180514-SPI-AOI-1.txt,3
test,20180523-SPI-AOI-1,20180523-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180523-SPI-AOI-1.jpeg,data\yolo\images\test\20180523-SPI-AOI-1.jpeg,data\yolo\labels\test\20180523-SPI-AOI-1.txt,1
test,20180523-SPI-AOI-2,20180523-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20180523-SPI-AOI-2.jpeg,data\yolo\images\test\20180523-SPI-AOI-2.jpeg,data\yolo\labels\test\20180523-SPI-AOI-2.txt,1
test,20180524-SPI-AOI-1,20180524-SPI-AOI-1,test_data,data\raw\test_data\JPEGImages\20180524-SPI-AOI-1.jpeg,data\yolo\images\test\20180524-SPI-AOI-1.jpeg,data\yolo\labels\test\20180524-SPI-AOI-1.txt,12
test,20180601-SPI-AOI-2,20180601-SPI-AOI-2,test_data,data\raw\test_data\JPEGImages\20180601-SPI-AOI-2.jpeg,data\yolo\images\test\20180601-SPI-AOI-2.jpeg,data\yolo\labels\test\20180601-SPI-AOI-2.txt,1
val,20161019-SPI-AOI-1,20161019-SPI-AOI-1,train_data,data\raw\train_data\JPEGImages\20161019-SPI-AOI-1.jpeg,data\yolo\images\val\20161019-SPI-AOI-1.jpeg,data\yolo\labels\val\20161019-SPI-AOI-1.txt,1
val,20161021-SPI-AOI-13,20161021-SPI-AOI-13,train_data,data\raw\train_data\JPEGImages\20161021-SPI-AOI-13.jpeg,data\yolo\images\val\20161021-SPI-AOI-13.jpeg,data\yolo\labels\val\20161021-SPI-AOI-13.txt,3
val,20161021-SPI-AOI-8,20161021-SPI-AOI-8,train_data,data\raw\train_data\JPEGImages\20161021-SPI-AOI-8.jpeg,data\yolo\images\val\20161021-SPI-AOI-8.jpeg,data\yolo\labels\val\20161021-SPI-AOI-8.txt,5
val,20161025-SPI-AOI-5,20161025-SPI-AOI-5,train_data,data\raw\train_data\JPEGImages\20161025-SPI-AOI-5.jpeg,data\yolo\images\val\20161025-SPI-AOI-5.jpeg,data\yolo\labels\val\20161025-SPI-AOI-5.txt,2
val,20161025-SPI-AOI-8,20161025-SPI-AOI-8,train_data,data\raw\train_data\JPEGImages\20161025-SPI-AOI-8.jpeg,data\yolo\images\val\20161025-SPI-AOI-8.jpeg,data\yolo\labels\val\20161025-SPI-AOI-8.txt,1
val,20161028-SPI-AOI-5,20161028-SPI-AOI-5,train_data,data\raw\train_data\JPEGImages\20161028-SPI-AOI-5.jpeg,data\yolo\images\val\20161028-SPI-AOI-5.jpeg,data\yolo\labels\val\20161028-SPI-AOI-5.txt,4
val,20161101-SPI-AOI-11,20161101-SPI-AOI-11,train_data,data\raw\train_data\JPEGImages\20161101-SPI-AOI-11.jpeg,data\yolo\images\val\20161101-SPI-AOI-11.jpeg,data\yolo\labels\val\20161101-SPI-AOI-11.txt,3
